record,age,sex,grade,race4,race7,bmi,stweight
1313627,16 years old,Female,11th,All other races,Asian,24.2931,59.879999999999995
933390,16 years old,Female,11th,All other races,Asian,19.284999999999997,54.43
183965,17 years old,Male,12th,White,White,NA,NA
256938,15 years old,Male,9th,Black or African American,Black or African American,NA,NA
513453,18 years old or older,Female,9th,Black or African American,Black or African American,26.4599,85.73
925175,16 years old,Male,11th,Black or African American,Black or African American,32.8228,89.36
36214,18 years old or older,Male,12th,All other races,Asian,NA,NA
1306499,16 years old,Male,11th,White,White,NA,NA
1309051,17 years old,Male,11th,White,White,20.994999999999997,70.31
256154,14 years old,Male,9th,All other races,Asian,NA,NA
1307670,17 years old,Male,12th,Hispanic/Latino,Hispanic/Latino,19.607400000000002,55.339999999999996
41401,17 years old,Female,11th,White,White,NA,NA
187844,16 years old,Female,10th,White,White,NA,NA
502228,16 years old,Male,11th,All other races,Multiple - Non-Hispanic,24.9114,70.31
929015,18 years old or older,Male,11th,White,White,20.7347,63.5
929902,18 years old or older,Male,12th,White,White,25.059,83.92
930122,18 years old or older,Male,12th,All other races,Asian,26.5164,74.84
1313871,16 years old,Female,10th,White,White,20.492199999999997,55.790000000000006
1304542,15 years old,Male,9th,White,White,20.7347,63.5
923151,15 years old,Male,9th,White,White,20.326900000000002,55.339999999999996
37459,15 years old,Female,10th,White,White,NA,NA
37374,15 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
1315438,17 years old,Female,11th,White,White,NA,NA
1312089,15 years old,Female,10th,Black or African American,Black or African American,39.0843,93.9
1316680,18 years old or older,Female,12th,Hispanic/Latino,Hispanic/Latino,39.6504,95.26
114144,18 years old or older,Male,NA,White,White,NA,NA
1102006,18 years old or older,Male,12th,NA,NA,20.580199999999998,66.67999999999999
938410,18 years old or older,Female,12th,White,White,27.199800000000003,86.17999999999999
191022,18 years old or older,Female,12th,White,White,NA,NA
1311399,15 years old,Female,9th,White,White,18.048399999999997,52.160000000000004
1310085,18 years old or older,Male,12th,All other races,Asian,20.441399999999998,66.23
499280,17 years old,NA,12th,White,White,NA,NA
271494,18 years old or older,Female,10th,Black or African American,Black or African American,NA,NA
1100095,17 years old,Male,10th,White,White,19.216900000000003,65.77
932818,15 years old,Female,9th,White,White,26.1976,73.94000000000001
1316822,18 years old or older,Female,11th,Black or African American,Black or African American,22.633800000000004,55.790000000000006
36625,14 years old,Female,9th,Black or African American,Black or African American,NA,NA
36060,18 years old or older,Male,11th,Hispanic/Latino,Hispanic/Latino,NA,NA
930610,14 years old,Female,9th,All other races,Native Hawaiian/other PI,20.8936,58.97
33958,17 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
188401,16 years old,Female,11th,All other races,NA,NA,NA
629691,15 years old,Male,10th,White,White,NA,NA
1309543,18 years old or older,Male,12th,Black or African American,Black or African American,27.035800000000002,92.53
401416,17 years old,Male,12th,NA,NA,21.6602,58.97
1104273,15 years old,Female,10th,All other races,Multiple - Non-Hispanic,23.947699999999998,67.59
922884,14 years old,Male,9th,White,White,19.614300000000004,67.13
111034,16 years old,Male,10th,All other races,Am Indian / Alaska Native,NA,NA
1102609,14 years old,Female,9th,White,White,21.261699999999998,54.43
1309368,18 years old or older,Male,12th,White,White,21.266699999999997,71.22
1308410,17 years old,Male,12th,Black or African American,Black or African American,27.2239,91.16999999999999
1305668,15 years old,Male,NA,Hispanic/Latino,Hispanic/Latino,NA,NA
935562,17 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,30.7313,81.64999999999999
260530,17 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,NA,NA
510302,16 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,32.79430000000001,68.95
932124,15 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,20.978499999999997,51.71
1312905,16 years old,Female,11th,All other races,Asian,26.5781,68.04
108058,15 years old,Male,11th,All other races,NA,NA,NA
111339,17 years old,Male,12th,White,White,NA,NA
322280,15 years old,Male,9th,Black or African American,Black or African American,21.697800000000004,61.24
1315562,17 years old,Female,11th,White,White,19.4931,53.07
1306483,16 years old,Male,10th,All other races,Asian,23.941399999999998,77.57
32285,16 years old,Male,9th,Black or African American,Black or African American,NA,NA
36451,18 years old or older,Male,12th,All other races,Am Indian / Alaska Native,NA,NA
260689,17 years old,Male,10th,All other races,NA,NA,NA
398096,16 years old,Male,NA,Hispanic/Latino,Hispanic/Latino,20.0074,59.879999999999995
327815,18 years old or older,Male,11th,Hispanic/Latino,Hispanic/Latino,NA,NA
42243,18 years old or older,Female,12th,All other races,Am Indian / Alaska Native,NA,NA
1314079,16 years old,Female,11th,All other races,Asian,16.672800000000002,49.9
1305569,15 years old,Male,10th,All other races,Asian,19.740699999999997,63.96
324550,16 years old,Male,10th,All other races,Multiple - Non-Hispanic,32.6704,117.94000000000001
925047,16 years old,Male,9th,Black or African American,Black or African American,23.5494,72.11999999999999
397675,15 years old,Male,10th,All other races,Multiple - Non-Hispanic,29.7336,83.92
1311671,15 years old,Female,10th,Black or African American,Black or African American,16.560499999999998,40.82
110292,16 years old,Male,10th,White,White,NA,NA
400830,17 years old,Male,11th,All other races,Multiple - Non-Hispanic,31.080199999999998,100.7
1096093,15 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,17.179000000000002,54.43
1098793,16 years old,Male,9th,Black or African American,Black or African American,NA,NA
1314193,16 years old,Female,10th,NA,NA,28.1553,69.4
33000,16 years old,Male,10th,All other races,Asian,NA,NA
760574,14 years old,Male,9th,White,White,NA,NA
513019,17 years old,Female,10th,White,White,18.0332,NA
1311305,15 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,21,68.04
330368,15 years old,Female,9th,Black or African American,Black or African American,28.1682,74.84
36188,18 years old or older,Male,12th,White,White,NA,NA
1308304,17 years old,Male,12th,All other races,Native Hawaiian/other PI,26.5164,74.84
937482,18 years old or older,Female,12th,Hispanic/Latino,Hispanic/Latino,20.486299999999996,54.43
924462,15 years old,Male,10th,All other races,Asian,23.856800000000003,81.64999999999999
635614,14 years old,Female,9th,White,White,20.4618,61.24
937448,17 years old,Female,12th,White,White,21.1689,47.63
927905,17 years old,Male,11th,White,White,22.191000000000003,70.31
256461,15 years old,Male,9th,All other races,Asian,NA,NA
1106123,16 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,17.935499999999998,43.09
118405,16 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,NA,NA
1311600,15 years old,Female,10th,Black or African American,Black or African American,22.2872,64.41000000000001
767725,14 years old,Female,9th,All other races,Asian,19.12,50.8
1109725,18 years old or older,Female,11th,White,White,22.195,58.97
187650,16 years old,Female,10th,White,White,NA,NA
180484,12 years old or younger,Male,NA,Hispanic/Latino,Hispanic/Latino,NA,NA
180755,14 years old,Male,9th,White,White,NA,NA
1312789,16 years old,Female,11th,White,White,24.7544,65.77
332843,16 years old,Female,10th,All other races,Multiple - Non-Hispanic,21.1874,67.13
936860,17 years old,Female,11th,All other races,Am Indian / Alaska Native,21.697800000000004,61.24
405260,16 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,19.3233,47.63
31895,15 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
1313560,16 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,18.9609,48.54
1316587,18 years old or older,Female,12th,NA,NA,22.6797,58.06
935372,17 years old,Female,11th,White,White,21.3754,60.33
1099106,17 years old,Male,11th,All other races,Am Indian / Alaska Native,21,68.04
109454,16 years old,Male,10th,White,White,NA,NA
40938,17 years old,Female,11th,All other races,NA,NA,NA
268384,17 years old,Female,12th,Black or African American,Black or African American,NA,NA
1315314,17 years old,Female,12th,NA,NA,29.449399999999997,68.04
1106091,16 years old,Female,11th,White,White,19.463699999999996,56.25
1314897,17 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,19.3556,43.55
42231,18 years old or older,Female,11th,Black or African American,Black or African American,NA,NA
1303635,14 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,26.179000000000002,84.82
399132,16 years old,Male,11th,Hispanic/Latino,Hispanic/Latino,18.595599999999997,67.13
40628,17 years old,Female,12th,All other races,NA,NA,NA
109895,16 years old,Male,NA,Hispanic/Latino,Hispanic/Latino,NA,NA
181647,15 years old,Male,10th,All other races,NA,NA,NA
1096641,15 years old,Male,10th,Black or African American,Black or African American,21.697800000000004,61.24
1099660,17 years old,Male,12th,White,White,15.8274,43.09
1107870,17 years old,Female,12th,White,White,NA,NA
331996,16 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,29.245199999999997,58.97
930486,14 years old,Female,9th,White,White,16.9516,48.99
929425,18 years old or older,Male,10th,Hispanic/Latino,Hispanic/Latino,16.0336,68.04
1109385,18 years old or older,Female,11th,Black or African American,Black or African American,NA,NA
1314570,17 years old,Female,12th,All other races,Asian,19.158900000000003,52.160000000000004
1098430,16 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,21.671300000000002,64.86
403673,15 years old,Female,10th,All other races,Asian,17.9269,47.63
1100567,17 years old,Male,11th,Hispanic/Latino,Hispanic/Latino,31.831300000000002,106.6
114453,18 years old or older,Male,12th,White,White,NA,NA
31278,15 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
328527,18 years old or older,Male,11th,White,White,18.9012,61.24
766674,18 years old or older,Male,NA,Hispanic/Latino,Hispanic/Latino,23.558699999999998,54.43
1310808,14 years old,Female,9th,White,White,34.1007,102.06
924379,15 years old,Male,10th,All other races,Multiple - Non-Hispanic,20.0417,63.5
1109648,18 years old or older,Female,12th,Black or African American,Black or African American,19.447999999999997,54.89
1306524,16 years old,Male,9th,NA,NA,22.5401,73.03
1310401,18 years old or older,Male,12th,White,White,22.958399999999997,70.31
761585,15 years old,Male,10th,All other races,Native Hawaiian/other PI,25.0058,74.84
1095297,14 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,19.3045,55.790000000000006
927115,17 years old,Male,12th,All other races,Multiple - Non-Hispanic,NA,NA
183932,17 years old,Male,11th,All other races,Am Indian / Alaska Native,NA,NA
769030,15 years old,Female,9th,All other races,Native Hawaiian/other PI,19.3556,NA
502424,16 years old,Male,10th,Black or African American,Black or African American,21.216,59.879999999999995
35106,17 years old,Male,10th,Black or African American,Black or African American,NA,NA
30732,14 years old,Male,9th,White,White,NA,NA
261847,17 years old,Male,12th,White,White,NA,NA
1096444,15 years old,Male,9th,All other races,Am Indian / Alaska Native,22.6616,63.96
1316203,18 years old or older,Female,11th,Hispanic/Latino,Hispanic/Latino,NA,NA
117429,15 years old,Female,9th,White,White,NA,NA
1314605,17 years old,Female,12th,All other races,Asian,25.608800000000002,68.04
1307766,17 years old,Male,11th,White,White,25.130200000000002,90.72
1314010,16 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,21.336100000000002,51.260000000000005
1309675,18 years old or older,Male,12th,All other races,Asian,22.1204,71.66999999999999
31138,15 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,NA,NA
510080,16 years old,Female,10th,All other races,Am Indian / Alaska Native,22.195,58.97
935293,16 years old,Female,11th,White,White,20.8264,56.7
1315368,17 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,30.3888,80.74000000000001
33440,16 years old,Male,10th,All other races,Asian,NA,NA
1315620,17 years old,Female,12th,Hispanic/Latino,Hispanic/Latino,22.081999999999997,54.43
36762,14 years old,Female,9th,Black or African American,Black or African American,NA,NA
330434,15 years old,Female,9th,Black or African American,Black or African American,19.7033,58.97
42140,18 years old or older,Female,12th,Hispanic/Latino,Hispanic/Latino,NA,NA
399871,17 years old,Male,9th,All other races,Multiple - Non-Hispanic,25.523699999999998,58.97
928467,17 years old,Male,11th,Hispanic/Latino,Hispanic/Latino,23.0494,61.24
1306264,16 years old,Male,10th,White,White,22.191000000000003,70.31
40384,17 years old,Female,10th,All other races,Asian,NA,NA
931733,15 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,18.219800000000003,44.91
764263,16 years old,Male,10th,All other races,Asian,25.0709,70.76
31230,15 years old,Male,9th,White,White,NA,NA
927209,17 years old,Male,12th,White,White,34.859199999999994,104.33
401479,17 years old,Male,11th,All other races,Native Hawaiian/other PI,22.333000000000002,70.76
332429,16 years old,Female,11th,Black or African American,Black or African American,19.633000000000003,45.36
1306095,16 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,24.7347,75.75
635995,14 years old,Female,9th,Black or African American,Black or African American,30.432,70.31
629381,15 years old,Male,11th,White,White,23.7438,83.92
923983,15 years old,Male,9th,All other races,Asian,20.994999999999997,70.31
1304115,14 years old,Male,9th,NA,NA,NA,NA
409081,18 years old or older,Female,12th,All other races,Multiple - Non-Hispanic,19.255499999999998,58.97
931000,14 years old,Female,9th,All other races,Asian,18.8803,45.36
1312129,15 years old,Female,10th,All other races,Asian,20.8264,56.7
637857,16 years old,Female,11th,All other races,Multiple - Non-Hispanic,23.3242,63.5
328448,18 years old or older,Male,12th,Black or African American,Black or African American,25.825499999999998,70.31
31222,15 years old,Male,9th,Black or African American,Black or African American,NA,NA
1102215,NA,Female,10th,Hispanic/Latino,Hispanic/Latino,NA,NA
1308012,17 years old,Male,12th,Hispanic/Latino,Hispanic/Latino,23.7659,75.3
1306221,16 years old,Male,11th,White,White,29.8201,86.17999999999999
34151,17 years old,Male,12th,White,White,NA,NA
922522,14 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,24.328699999999998,70.31
37939,15 years old,Female,9th,White,White,NA,NA
927214,17 years old,Male,12th,Black or African American,Black or African American,19.3284,61.24
1094784,14 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,22.442899999999998,64.86
930876,14 years old,Female,9th,NA,NA,18.0618,NA
1101748,18 years old or older,Male,12th,All other races,Asian,NA,NA
1315064,17 years old,Female,12th,White,White,31.007800000000003,79.38
1103583,15 years old,Female,9th,White,White,20.578599999999998,49.44
1097431,16 years old,Male,10th,All other races,Multiple - Non-Hispanic,21.4746,68.04
930416,14 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,24.191100000000002,54.43
935194,16 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,29.876900000000003,79.38
1108866,18 years old or older,Female,10th,White,White,31.283199999999997,77.11
1109092,18 years old or older,Female,12th,All other races,Native Hawaiian/other PI,26.659300000000002,72.58
1104498,15 years old,Female,10th,White,White,23.9,63.5
1307952,17 years old,Male,12th,White,White,23.4595,80.29
1094552,18 years old or older,NA,9th,NA,NA,NA,NA
1303888,14 years old,Male,9th,White,White,26.5164,74.84
926192,16 years old,Male,10th,White,White,19.5083,68.95
930741,14 years old,Female,9th,White,White,23.2216,55.790000000000006
1311593,15 years old,Female,9th,Black or African American,Black or African American,19.639300000000002,65.77
1316596,18 years old or older,Female,12th,Black or African American,Black or African American,20.906299999999998,53.52
923084,15 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,20.317100000000003,68.04
935737,17 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,24.475599999999996,60.33
1103100,15 years old,Female,9th,All other races,Am Indian / Alaska Native,29.5898,75.75
333342,16 years old,Female,10th,All other races,Am Indian / Alaska Native,17.1981,48.54
116552,15 years old,Female,10th,All other races,Asian,NA,NA
1109801,18 years old or older,Female,12th,White,White,NA,NA
263843,14 years old,Female,9th,All other races,NA,NA,NA
321949,14 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,19.255499999999998,58.97
929530,18 years old or older,Male,12th,Black or African American,Black or African American,38.182300000000005,149.69
107589,14 years old,Male,9th,Black or African American,Black or African American,NA,NA
936277,17 years old,Female,11th,White,White,16.6612,45.36
1309348,18 years old or older,Male,10th,White,White,17.080199999999998,55.339999999999996
1312931,16 years old,Female,11th,White,White,19.7751,57.15
930449,14 years old,Female,9th,Black or African American,Black or African American,18.640800000000002,55.790000000000006
1304500,15 years old,Male,9th,White,White,17.9269,47.63
321692,14 years old,Male,9th,All other races,Multiple - Non-Hispanic,23.8581,68.95
186961,15 years old,Female,9th,Black or African American,Black or African American,NA,NA
1098365,16 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,25.3393,99.34
1096134,15 years old,Male,10th,All other races,Asian,18.200599999999998,58.97
633298,17 years old,Male,11th,White,White,NA,NA
182570,16 years old,Male,12th,Black or African American,Black or African American,NA,NA
269475,17 years old,Female,12th,Hispanic/Latino,Hispanic/Latino,NA,NA
935051,16 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,25.114200000000004,72.58
1315496,17 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,36.885799999999996,106.6
116696,15 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,NA,NA
186939,15 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
932218,15 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,19.3233,47.63
1100398,17 years old,Male,11th,Black or African American,Black or African American,23.1936,79.38
1105158,16 years old,Female,10th,All other races,Multiple - Non-Hispanic,28.3205,68.04
1314881,17 years old,Female,11th,Hispanic/Latino,Hispanic/Latino,26.0562,62.6
1315583,17 years old,Female,12th,White,White,17.9269,47.63
508351,15 years old,Female,10th,All other races,Multiple - Non-Hispanic,16.6612,45.36
1305660,15 years old,Male,9th,All other races,Asian,24.411900000000003,64.86
32875,16 years old,Male,10th,Black or African American,Black or African American,NA,NA
1305158,15 years old,Male,10th,White,White,29.5184,104.33
1101000,18 years old or older,Male,12th,White,White,NA,NA
38201,15 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,NA,NA
321450,17 years old,NA,11th,White,White,NA,NA
1100891,17 years old,Male,12th,All other races,Multiple - Non-Hispanic,33.184,111.13
1313355,16 years old,Female,10th,White,White,24.242499999999996,64.41000000000001
35815,18 years old or older,Male,11th,Black or African American,Black or African American,NA,NA
405666,16 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
407512,17 years old,Female,12th,Hispanic/Latino,Hispanic/Latino,20.6594,54.89
109573,16 years old,Male,11th,Black or African American,Black or African American,NA,NA
1315510,17 years old,Female,11th,All other races,Multiple - Non-Hispanic,20.0125,48.08
1105262,16 years old,Female,11th,Black or African American,Black or African American,22.195,58.97
1307096,16 years old,Male,9th,Black or African American,Black or African American,19.552699999999998,59.879999999999995
1304104,14 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,28.991699999999998,78.93
1310605,14 years old,Female,9th,Black or African American,Black or African American,19.569499999999998,39.46
39170,16 years old,Female,10th,All other races,Asian,NA,NA
35984,18 years old or older,Male,10th,Hispanic/Latino,Hispanic/Latino,NA,NA
111517,17 years old,Male,12th,All other races,NA,NA,NA
265481,15 years old,Female,9th,White,White,NA,NA
34897,17 years old,Male,11th,White,White,NA,NA
331036,15 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,19.8252,47.63
761852,15 years old,Male,10th,All other races,Native Hawaiian/other PI,23.620800000000003,74.84
929128,18 years old or older,Male,12th,White,White,22.619400000000002,75.75
1308643,17 years old,Male,12th,Black or African American,Black or African American,22.6021,65.32
930736,14 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,21.3407,56.7
630242,15 years old,Male,9th,All other races,Multiple - Non-Hispanic,20.6594,54.89
335596,18 years old or older,Female,11th,All other races,Native Hawaiian/other PI,27.317600000000002,72.58
642061,18 years old or older,Female,12th,White,White,21.6609,62.6
1312306,15 years old,Female,10th,White,White,19.631900000000005,52.160000000000004
38858,16 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,NA,NA
512613,17 years old,Female,12th,Hispanic/Latino,Hispanic/Latino,20.486299999999996,54.43
1316630,18 years old or older,Female,12th,White,White,25.490099999999998,61.24
924980,16 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,40.3737,127.92
188171,16 years old,Female,9th,All other races,Asian,NA,NA
328998,14 years old,Female,9th,All other races,Native Hawaiian/other PI,16.1954,NA
398883,16 years old,Male,12th,All other races,Asian,NA,NA
1102864,14 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,18.781299999999998,49.9
106935,12 years old or younger,Male,12th,Black or African American,Black or African American,NA,NA
634069,17 years old,Male,11th,White,White,21.672800000000002,72.58
1310416,18 years old or older,Male,12th,All other races,Multiple - Non-Hispanic,38.3024,131.09
1304759,15 years old,Male,9th,White,White,22.191000000000003,70.31
925151,16 years old,Male,11th,Black or African American,Black or African American,31.412699999999997,113.4
930618,14 years old,Female,9th,White,White,25.5848,73.94000000000001
263695,18 years old or older,Male,12th,Black or African American,Black or African American,NA,NA
39696,16 years old,Female,11th,All other races,NA,NA,NA
923333,15 years old,Male,10th,White,White,18.480699999999995,52.160000000000004
1308068,17 years old,Male,11th,White,White,25.8962,74.84
924286,15 years old,Male,9th,White,White,NA,NA
115593,14 years old,Female,9th,Black or African American,Black or African American,NA,NA
925059,16 years old,Male,10th,Black or African American,Black or African American,21.3325,67.59
929204,18 years old or older,Male,12th,White,White,25.0058,74.84
926145,16 years old,Male,9th,All other races,Asian,20.317100000000003,68.04
404338,15 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,32.4745,78.02
1097976,16 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,33.117599999999996,95.71000000000001
1306277,16 years old,Male,10th,Black or African American,Black or African American,18.7593,60.78
108047,15 years old,Male,10th,White,White,NA,NA
38695,16 years old,Female,9th,White,White,NA,NA
180539,14 years old,Male,9th,Black or African American,Black or African American,NA,NA
923898,15 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,19.875,48.99
760507,NA,Male,12th,White,White,NA,NA
38686,16 years old,Female,10th,White,White,NA,NA
1094831,14 years old,Male,9th,NA,NA,19.7669,55.790000000000006
1104252,15 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,23.0352,58.97
1311148,14 years old,Female,9th,White,White,20.492199999999997,55.790000000000006
1097984,16 years old,Male,9th,All other races,Multiple - Non-Hispanic,20.7347,63.5
110318,16 years old,Male,10th,Black or African American,Black or African American,NA,NA
270993,18 years old or older,Female,12th,Hispanic/Latino,Hispanic/Latino,NA,NA
936106,17 years old,Female,11th,White,White,24.492199999999997,66.67999999999999
501465,15 years old,Male,10th,Black or African American,Black or African American,17.5,56.7
1309288,18 years old or older,Male,12th,Black or African American,Black or African American,25.0537,79.38
1305762,16 years old,Male,10th,White,White,21.5209,64.41000000000001
404658,15 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,25.114200000000004,72.58
1106652,16 years old,Female,12th,All other races,Asian,17.667900000000003,40.82
927741,17 years old,Male,12th,White,White,24.9116,78.93
180654,14 years old,Male,9th,Black or African American,Black or African American,NA,NA
32081,15 years old,Male,9th,All other races,NA,NA,NA
396520,14 years old,Male,9th,All other races,Multiple - Non-Hispanic,24.5,79.38
1310418,18 years old or older,Male,12th,White,White,25.733800000000002,86.17999999999999
40371,17 years old,Female,12th,White,White,NA,NA
108128,15 years old,Male,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
1096877,15 years old,Male,NA,Hispanic/Latino,Hispanic/Latino,26.9336,68.95
34401,17 years old,Male,11th,White,White,NA,NA
634996,18 years old or older,Male,10th,Black or African American,Black or African American,22.6702,87.09
513470,18 years old or older,Female,10th,Black or African American,Black or African American,21.261699999999998,54.43
506770,18 years old or older,Male,12th,Black or African American,Black or African American,25.7643,77.11
922520,14 years old,Male,9th,White,White,21.206699999999998,72.58
120420,17 years old,Female,10th,All other races,Am Indian / Alaska Native,NA,NA
1106119,16 years old,Female,10th,White,White,15.695500000000001,45.36
38577,15 years old,Female,10th,All other races,NA,NA,NA
638182,16 years old,Female,11th,All other races,Native Hawaiian/other PI,18.328699999999998,49.9
1307994,17 years old,Male,11th,White,White,21.825499999999998,59.42
188713,16 years old,Female,10th,All other races,Asian,NA,NA
1305926,16 years old,Male,10th,White,White,18.611900000000006,58.97
1307740,17 years old,Male,11th,White,White,28.6327,90.72
1106169,16 years old,Female,10th,Hispanic/Latino,Hispanic/Latino,20.578599999999998,49.44
1312702,15 years old,Female,9th,Black or African American,Black or African American,23.185499999999998,57.15
42263,18 years old or older,Female,11th,White,White,NA,NA
1308524,17 years old,Male,11th,Hispanic/Latino,Hispanic/Latino,22.733800000000002,68.04
108758,15 years old,Male,9th,White,White,NA,NA
121741,17 years old,Female,11th,White,White,NA,NA
406936,16 years old,Female,9th,Black or African American,Black or African American,NA,NA
1305393,15 years old,Male,10th,White,White,19.7033,58.97
1303521,NA,Male,NA,NA,NA,NA,NA
1314758,17 years old,Female,12th,Hispanic/Latino,Hispanic/Latino,19.6925,48.54
35347,18 years old or older,Male,11th,Black or African American,Black or African American,NA,NA
405413,16 years old,Female,11th,All other races,Native Hawaiian/other PI,30.290699999999998,87.54
1316947,18 years old or older,Female,12th,White,White,20.991699999999998,57.15
263098,18 years old or older,Male,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
180472,17 years old,NA,11th,Black or African American,Black or African American,NA,NA
1307589,17 years old,Male,12th,Black or African American,Black or African American,NA,NA
1307537,17 years old,Male,12th,White,White,24.8409,92.53
1097227,16 years old,Male,11th,All other races,Asian,30.6055,88.45
