country,population,four_regions,eight_regions,six_regions,WorldRegions,Measures,Values
Angola,24200000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,5910
Angola,24200000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,60.9
Angola,24200000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,58.6
Angola,24200000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,40.3
Antigua and Barbuda,95700,americas,america_north,america,Americas,CO2emissions,5.36
Antigua and Barbuda,95700,americas,america_north,america,Americas,ElectricityUsePP,NA
Antigua and Barbuda,95700,americas,america_north,america,Americas,FoodSupplykcPPD,2370
Antigua and Barbuda,95700,americas,america_north,america,Americas,IncomePP,18600
Antigua and Barbuda,95700,americas,america_north,america,Americas,LifeExpectancyYrs,76.9
Antigua and Barbuda,95700,americas,america_north,america,Americas,FemaleLiteracyRate,99.4
Antigua and Barbuda,95700,americas,america_north,america,Americas,WaterSourcePrct,97
Argentina,41700000,americas,america_south,america,Americas,CO2emissions,4.6
Argentina,41700000,americas,america_south,america,Americas,ElectricityUsePP,2900
Argentina,41700000,americas,america_south,america,Americas,FoodSupplykcPPD,3160
Argentina,41700000,americas,america_south,america,Americas,IncomePP,19600
Argentina,41700000,americas,america_south,america,Americas,LifeExpectancyYrs,76
Argentina,41700000,americas,america_south,america,Americas,FemaleLiteracyRate,97.9
Argentina,41700000,americas,america_south,america,Americas,WaterSourcePrct,99.5
Armenia,2880000,europe,europe_east,europe_central_asia,Europe,CO2emissions,1.71
Armenia,2880000,europe,europe_east,europe_central_asia,Europe,ElectricityUsePP,1810
Armenia,2880000,europe,europe_east,europe_central_asia,Europe,FoodSupplykcPPD,2790
Armenia,2880000,europe,europe_east,europe_central_asia,Europe,IncomePP,7020
Armenia,2880000,europe,europe_east,europe_central_asia,Europe,LifeExpectancyYrs,73.8
Armenia,2880000,europe,europe_east,europe_central_asia,Europe,FemaleLiteracyRate,99.5
Armenia,2880000,europe,europe_east,europe_central_asia,Europe,WaterSourcePrct,97.8
Australia,22500000,asia,east_asia_pacific,east_asia_pacific,Asia,CO2emissions,17.4
Australia,22500000,asia,east_asia_pacific,east_asia_pacific,Asia,ElectricityUsePP,10600
Australia,22500000,asia,east_asia_pacific,east_asia_pacific,Asia,FoodSupplykcPPD,3240
Australia,22500000,asia,east_asia_pacific,east_asia_pacific,Asia,IncomePP,41800
Australia,22500000,asia,east_asia_pacific,east_asia_pacific,Asia,LifeExpectancyYrs,82.2
Australia,22500000,asia,east_asia_pacific,east_asia_pacific,Asia,FemaleLiteracyRate,NA
Australia,22500000,asia,east_asia_pacific,east_asia_pacific,Asia,WaterSourcePrct,99.9
Austria,8460000,europe,europe_west,europe_central_asia,Europe,CO2emissions,7.69
Austria,8460000,europe,europe_west,europe_central_asia,Europe,ElectricityUsePP,8430
Austria,8460000,europe,europe_west,europe_central_asia,Europe,FoodSupplykcPPD,3740
Austria,8460000,europe,europe_west,europe_central_asia,Europe,IncomePP,44200
Austria,8460000,europe,europe_west,europe_central_asia,Europe,LifeExpectancyYrs,80.7
Austria,8460000,europe,europe_west,europe_central_asia,Europe,FemaleLiteracyRate,NA
Austria,8460000,europe,europe_west,europe_central_asia,Europe,WaterSourcePrct,100
Azerbaijan,9150000,europe,europe_east,europe_central_asia,Europe,CO2emissions,3.66
Azerbaijan,9150000,europe,europe_east,europe_central_asia,Europe,ElectricityUsePP,1710
Azerbaijan,9150000,europe,europe_east,europe_central_asia,Europe,FoodSupplykcPPD,3040
Azerbaijan,9150000,europe,europe_east,europe_central_asia,Europe,IncomePP,15800
Azerbaijan,9150000,europe,europe_east,europe_central_asia,Europe,LifeExpectancyYrs,69.9
Azerbaijan,9150000,europe,europe_east,europe_central_asia,Europe,FemaleLiteracyRate,NA
Azerbaijan,9150000,europe,europe_east,europe_central_asia,Europe,WaterSourcePrct,82.3
Bahamas,367000,americas,america_north,america,Americas,CO2emissions,5.09
Bahamas,367000,americas,america_north,america,Americas,ElectricityUsePP,NA
Bahamas,367000,americas,america_north,america,Americas,FoodSupplykcPPD,2570
Bahamas,367000,americas,america_north,america,Americas,IncomePP,22700
Bahamas,367000,americas,america_north,america,Americas,LifeExpectancyYrs,73.8
Bahamas,367000,americas,america_north,america,Americas,FemaleLiteracyRate,NA
Bahamas,367000,americas,america_north,america,Americas,WaterSourcePrct,97.8
Bahrain,1280000,asia,asia_west,middle_east_north_africa,Asia,CO2emissions,22.4
Bahrain,1280000,asia,asia_west,middle_east_north_africa,Asia,ElectricityUsePP,17900
Bahrain,1280000,asia,asia_west,middle_east_north_africa,Asia,FoodSupplykcPPD,NA
Bahrain,1280000,asia,asia_west,middle_east_north_africa,Asia,IncomePP,40700
Bahrain,1280000,asia,asia_west,middle_east_north_africa,Asia,LifeExpectancyYrs,76.2
Bahrain,1280000,asia,asia_west,middle_east_north_africa,Asia,FemaleLiteracyRate,NA
Bahrain,1280000,asia,asia_west,middle_east_north_africa,Asia,WaterSourcePrct,100
Bangladesh,154000000,asia,asia_west,south_asia,Asia,CO2emissions,0.412
Bangladesh,154000000,asia,asia_west,south_asia,Asia,ElectricityUsePP,258
Bangladesh,154000000,asia,asia_west,south_asia,Asia,FoodSupplykcPPD,2430
Bangladesh,154000000,asia,asia_west,south_asia,Asia,IncomePP,2570
Bangladesh,154000000,asia,asia_west,south_asia,Asia,LifeExpectancyYrs,71
Bangladesh,154000000,asia,asia_west,south_asia,Asia,FemaleLiteracyRate,53.4
Bangladesh,154000000,asia,asia_west,south_asia,Asia,WaterSourcePrct,96.7
Barbados,281000,americas,america_north,america,Americas,CO2emissions,5.45
Barbados,281000,americas,america_north,america,Americas,ElectricityUsePP,NA
Barbados,281000,americas,america_north,america,Americas,FoodSupplykcPPD,2890
Barbados,281000,americas,america_north,america,Americas,IncomePP,15400
Barbados,281000,americas,america_north,america,Americas,LifeExpectancyYrs,76.7
Barbados,281000,americas,america_north,america,Americas,FemaleLiteracyRate,NA
Barbados,281000,americas,america_north,america,Americas,WaterSourcePrct,98.2
Belarus,9470000,europe,europe_east,europe_central_asia,Europe,CO2emissions,6.77
Belarus,9470000,europe,europe_east,europe_central_asia,Europe,ElectricityUsePP,3630
Belarus,9470000,europe,europe_east,europe_central_asia,Europe,FoodSupplykcPPD,3400
Belarus,9470000,europe,europe_east,europe_central_asia,Europe,IncomePP,17200
Belarus,9470000,europe,europe_east,europe_central_asia,Europe,LifeExpectancyYrs,70.7
Belarus,9470000,europe,europe_east,europe_central_asia,Europe,FemaleLiteracyRate,NA
Belarus,9470000,europe,europe_east,europe_central_asia,Europe,WaterSourcePrct,98
Belgium,11000000,europe,europe_west,europe_central_asia,Europe,CO2emissions,9.08
Belgium,11000000,europe,europe_west,europe_central_asia,Europe,ElectricityUsePP,8020
Belgium,11000000,europe,europe_west,europe_central_asia,Europe,FoodSupplykcPPD,3720
Belgium,11000000,europe,europe_west,europe_central_asia,Europe,IncomePP,41200
Belgium,11000000,europe,europe_west,europe_central_asia,Europe,LifeExpectancyYrs,80.2
Belgium,11000000,europe,europe_west,europe_central_asia,Europe,FemaleLiteracyRate,NA
Belgium,11000000,europe,europe_west,europe_central_asia,Europe,WaterSourcePrct,100
Belize,329000,americas,america_north,america,Americas,CO2emissions,1.83
Belize,329000,americas,america_north,america,Americas,ElectricityUsePP,NA
Belize,329000,americas,america_north,america,Americas,FoodSupplykcPPD,2760
Belize,329000,americas,america_north,america,Americas,IncomePP,7860
Belize,329000,americas,america_north,america,Americas,LifeExpectancyYrs,71.5
Belize,329000,americas,america_north,america,Americas,FemaleLiteracyRate,NA
Belize,329000,americas,america_north,america,Americas,WaterSourcePrct,94.6
Benin,9460000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.56
Benin,9460000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,91.5
Benin,9460000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2600
Benin,9460000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,1820
Benin,9460000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,62.2
Benin,9460000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,NA
Benin,9460000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,65.2
Bhutan,741000,asia,asia_west,south_asia,Asia,CO2emissions,0.99
Bhutan,741000,asia,asia_west,south_asia,Asia,ElectricityUsePP,NA
Bhutan,741000,asia,asia_west,south_asia,Asia,FoodSupplykcPPD,NA
Bhutan,741000,asia,asia_west,south_asia,Asia,IncomePP,6810
Bhutan,741000,asia,asia_west,south_asia,Asia,LifeExpectancyYrs,72.5
Bhutan,741000,asia,asia_west,south_asia,Asia,FemaleLiteracyRate,NA
Bhutan,741000,asia,asia_west,south_asia,Asia,WaterSourcePrct,94.7
Bolivia,10100000,americas,america_south,america,Americas,CO2emissions,1.6
Bolivia,10100000,americas,america_south,america,Americas,ElectricityUsePP,637
Bolivia,10100000,americas,america_south,america,Americas,FoodSupplykcPPD,2220
Bolivia,10100000,americas,america_south,america,Americas,IncomePP,5600
Bolivia,10100000,americas,america_south,america,Americas,LifeExpectancyYrs,71.9
Bolivia,10100000,americas,america_south,america,Americas,FemaleLiteracyRate,NA
Bolivia,10100000,americas,america_south,america,Americas,WaterSourcePrct,89.4
Bosnia and Herzegovina,3690000,europe,europe_east,europe_central_asia,Europe,CO2emissions,6.48
Bosnia and Herzegovina,3690000,europe,europe_east,europe_central_asia,Europe,ElectricityUsePP,3320
Bosnia and Herzegovina,3690000,europe,europe_east,europe_central_asia,Europe,FoodSupplykcPPD,3130
Bosnia and Herzegovina,3690000,europe,europe_east,europe_central_asia,Europe,IncomePP,9890
Bosnia and Herzegovina,3690000,europe,europe_east,europe_central_asia,Europe,LifeExpectancyYrs,76.9
Bosnia and Herzegovina,3690000,europe,europe_east,europe_central_asia,Europe,FemaleLiteracyRate,96.7
Bosnia and Herzegovina,3690000,europe,europe_east,europe_central_asia,Europe,WaterSourcePrct,97.4
Botswana,2050000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,2.04
Botswana,2050000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,1480
Botswana,2050000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2270
Botswana,2050000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,13900
Botswana,2050000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,58.9
Botswana,2050000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,85.6
Botswana,2050000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,78.7
Brazil,199000000,americas,america_south,america,Americas,CO2emissions,2.21
Brazil,199000000,americas,america_south,america,Americas,ElectricityUsePP,2420
Brazil,199000000,americas,america_south,america,Americas,FoodSupplykcPPD,3290
Brazil,199000000,americas,america_south,america,Americas,IncomePP,15000
Brazil,199000000,americas,america_south,america,Americas,LifeExpectancyYrs,74.4
Brazil,199000000,americas,america_south,america,Americas,FemaleLiteracyRate,NA
Brazil,199000000,americas,america_south,america,Americas,WaterSourcePrct,96.5
Brunei,394000,asia,east_asia_pacific,east_asia_pacific,Asia,CO2emissions,24.6
Brunei,394000,asia,east_asia_pacific,east_asia_pacific,Asia,ElectricityUsePP,8780
Brunei,394000,asia,east_asia_pacific,east_asia_pacific,Asia,FoodSupplykcPPD,2940
Brunei,394000,asia,east_asia_pacific,east_asia_pacific,Asia,IncomePP,82400
Brunei,394000,asia,east_asia_pacific,east_asia_pacific,Asia,LifeExpectancyYrs,77
Brunei,394000,asia,east_asia_pacific,east_asia_pacific,Asia,FemaleLiteracyRate,93.9
Brunei,394000,asia,east_asia_pacific,east_asia_pacific,Asia,WaterSourcePrct,99.5
Bulgaria,7360000,europe,europe_east,europe_central_asia,Europe,CO2emissions,6.71
Bulgaria,7360000,europe,europe_east,europe_central_asia,Europe,ElectricityUsePP,4860
Bulgaria,7360000,europe,europe_east,europe_central_asia,Europe,FoodSupplykcPPD,2770
Bulgaria,7360000,europe,europe_east,europe_central_asia,Europe,IncomePP,15700
Bulgaria,7360000,europe,europe_east,europe_central_asia,Europe,LifeExpectancyYrs,74.3
Bulgaria,7360000,europe,europe_east,europe_central_asia,Europe,FemaleLiteracyRate,98
Bulgaria,7360000,europe,europe_east,europe_central_asia,Europe,WaterSourcePrct,99.4
Burkina Faso,16100000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.138
Burkina Faso,16100000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,NA
Burkina Faso,16100000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2660
Burkina Faso,16100000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,1470
Burkina Faso,16100000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,58.4
Burkina Faso,16100000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,NA
Burkina Faso,16100000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,51.8
Burundi,9040000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.0268
Burundi,9040000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,NA
Burundi,9040000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,NA
Burundi,9040000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,772
Burundi,9040000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,58.2
Burundi,9040000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,NA
Burundi,9040000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,55
Cambodia,14500000,asia,east_asia_pacific,east_asia_pacific,Asia,CO2emissions,0.358
Cambodia,14500000,asia,east_asia_pacific,east_asia_pacific,Asia,ElectricityUsePP,165
Cambodia,14500000,asia,east_asia_pacific,east_asia_pacific,Asia,FoodSupplykcPPD,2430
Cambodia,14500000,asia,east_asia_pacific,east_asia_pacific,Asia,IncomePP,2660
Cambodia,14500000,asia,east_asia_pacific,east_asia_pacific,Asia,LifeExpectancyYrs,66.6
Cambodia,14500000,asia,east_asia_pacific,east_asia_pacific,Asia,FemaleLiteracyRate,NA
Cambodia,14500000,asia,east_asia_pacific,east_asia_pacific,Asia,WaterSourcePrct,68.9
Cameroon,20500000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.281
Cameroon,20500000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,261
Cameroon,20500000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2570
Cameroon,20500000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,2690
Cameroon,20500000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,57.7
Cameroon,20500000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,NA
Cameroon,20500000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,62.7
Canada,34500000,americas,america_north,america,Americas,CO2emissions,15.6
Canada,34500000,americas,america_north,america,Americas,ElectricityUsePP,15600
Canada,34500000,americas,america_north,america,Americas,FoodSupplykcPPD,3470
Canada,34500000,americas,america_north,america,Americas,IncomePP,41600
Canada,34500000,americas,america_north,america,Americas,LifeExpectancyYrs,81.5
Canada,34500000,americas,america_north,america,Americas,FemaleLiteracyRate,NA
Canada,34500000,americas,america_north,america,Americas,WaterSourcePrct,99.3
Cape Verde,508000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,1.21
Cape Verde,508000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,NA
Cape Verde,508000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2570
Cape Verde,508000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,5990
Cape Verde,508000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,72.7
Cape Verde,508000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,80.3
Cape Verde,508000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,84.3
Central African Republic,4480000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.0623
Central African Republic,4480000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,NA
Central African Republic,4480000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2150
Central African Republic,4480000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,912
Central African Republic,4480000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,48
Central African Republic,4480000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,44.2
Central African Republic,4480000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,53.7
Chad,12300000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.0439
Chad,12300000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,NA
Chad,12300000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2060
Chad,12300000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,1860
Chad,12300000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,57
Chad,12300000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,25.4
Chad,12300000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,41.5
Chile,17200000,americas,america_south,america,Americas,CO2emissions,4.62
Chile,17200000,americas,america_south,america,Americas,ElectricityUsePP,3600
Chile,17200000,americas,america_south,america,Americas,FoodSupplykcPPD,2960
Chile,17200000,americas,america_south,america,Americas,IncomePP,20400
Chile,17200000,americas,america_south,america,Americas,LifeExpectancyYrs,79.5
Chile,17200000,americas,america_south,america,Americas,FemaleLiteracyRate,NA
Chile,17200000,americas,america_south,america,Americas,WaterSourcePrct,99.3
China,1370000000,asia,east_asia_pacific,east_asia_pacific,Asia,CO2emissions,7.12
China,1370000000,asia,east_asia_pacific,east_asia_pacific,Asia,ElectricityUsePP,3300
China,1370000000,asia,east_asia_pacific,east_asia_pacific,Asia,FoodSupplykcPPD,3080
China,1370000000,asia,east_asia_pacific,east_asia_pacific,Asia,IncomePP,10400
China,1370000000,asia,east_asia_pacific,east_asia_pacific,Asia,LifeExpectancyYrs,75.1
China,1370000000,asia,east_asia_pacific,east_asia_pacific,Asia,FemaleLiteracyRate,NA
China,1370000000,asia,east_asia_pacific,east_asia_pacific,Asia,WaterSourcePrct,92
Colombia,46400000,americas,america_south,america,Americas,CO2emissions,1.65
Colombia,46400000,americas,america_south,america,Americas,ElectricityUsePP,1120
Colombia,46400000,americas,america_south,america,Americas,FoodSupplykcPPD,2700
Colombia,46400000,americas,america_south,america,Americas,IncomePP,11500
Colombia,46400000,americas,america_south,america,Americas,LifeExpectancyYrs,77
Colombia,46400000,americas,america_south,america,Americas,FemaleLiteracyRate,93.7
Colombia,46400000,americas,america_south,america,Americas,WaterSourcePrct,95
Comoros,707000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.192
Comoros,707000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,NA
Comoros,707000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,NA
Comoros,707000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,1420
Comoros,707000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,65.6
Comoros,707000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,70.6
Comoros,707000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,84.2
"Congo, Dem. Rep.",66700000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.0374
"Congo, Dem. Rep.",66700000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,108
"Congo, Dem. Rep.",66700000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,NA
"Congo, Dem. Rep.",66700000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,630
"Congo, Dem. Rep.",66700000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,58
"Congo, Dem. Rep.",66700000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,NA
"Congo, Dem. Rep.",66700000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,39.8
"Congo, Rep.",4510000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.501
"Congo, Rep.",4510000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,144
"Congo, Rep.",4510000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2190
"Congo, Rep.",4510000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,5210
"Congo, Rep.",4510000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,61.1
"Congo, Rep.",4510000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,NA
"Congo, Rep.",4510000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,65.1
Costa Rica,4600000,americas,america_north,america,Americas,CO2emissions,1.68
Costa Rica,4600000,americas,america_north,america,Americas,ElectricityUsePP,1900
Costa Rica,4600000,americas,america_north,america,Americas,FoodSupplykcPPD,2880
Costa Rica,4600000,americas,america_north,america,Americas,IncomePP,13400
Costa Rica,4600000,americas,america_north,america,Americas,LifeExpectancyYrs,80.5
Costa Rica,4600000,americas,america_north,america,Americas,FemaleLiteracyRate,96.5
Costa Rica,4600000,americas,america_north,america,Americas,WaterSourcePrct,98.7
Cote d'Ivoire,20900000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,0.347
Cote d'Ivoire,20900000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,198
Cote d'Ivoire,20900000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2780
Cote d'Ivoire,20900000,africa,africa_sub_saharan,sub_saharan_africa,Africa,IncomePP,2510
Cote d'Ivoire,20900000,africa,africa_sub_saharan,sub_saharan_africa,Africa,LifeExpectancyYrs,56.9
Cote d'Ivoire,20900000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FemaleLiteracyRate,47.6
Cote d'Ivoire,20900000,africa,africa_sub_saharan,sub_saharan_africa,Africa,WaterSourcePrct,72.7
Croatia,4310000,europe,europe_east,europe_central_asia,Europe,CO2emissions,4.59
Croatia,4310000,europe,europe_east,europe_central_asia,Europe,ElectricityUsePP,3900
Croatia,4310000,europe,europe_east,europe_central_asia,Europe,FoodSupplykcPPD,3000
Croatia,4310000,europe,europe_east,europe_central_asia,Europe,IncomePP,20700
Croatia,4310000,europe,europe_east,europe_central_asia,Europe,LifeExpectancyYrs,76.6
Croatia,4310000,europe,europe_east,europe_central_asia,Europe,FemaleLiteracyRate,98.3
Croatia,4310000,europe,europe_east,europe_central_asia,Europe,WaterSourcePrct,99.4
Cuba,11400000,americas,america_north,america,Americas,CO2emissions,3.17
Cuba,11400000,americas,america_north,america,Americas,ElectricityUsePP,1320
Cuba,11400000,americas,america_north,america,Americas,FoodSupplykcPPD,3290
Cuba,11400000,americas,america_north,america,Americas,IncomePP,18800
Cuba,11400000,americas,america_north,america,Americas,LifeExpectancyYrs,78.5
Cuba,11400000,americas,america_north,america,Americas,FemaleLiteracyRate,99.8
Cuba,11400000,americas,america_north,america,Americas,WaterSourcePrct,94.6
Cyprus,1120000,europe,europe_west,europe_central_asia,Europe,CO2emissions,6.6
Cyprus,1120000,europe,europe_west,europe_central_asia,Europe,ElectricityUsePP,4240
Cyprus,1120000,europe,europe_west,europe_central_asia,Europe,FoodSupplykcPPD,2680
Cyprus,1120000,europe,europe_west,europe_central_asia,Europe,IncomePP,33200
Cyprus,1120000,europe,europe_west,europe_central_asia,Europe,LifeExpectancyYrs,80.2
Cyprus,1120000,europe,europe_west,europe_central_asia,Europe,FemaleLiteracyRate,98.1
Cyprus,1120000,europe,europe_west,europe_central_asia,Europe,WaterSourcePrct,100
Czech Republic,10600000,europe,europe_east,europe_central_asia,Europe,CO2emissions,10.1
Czech Republic,10600000,europe,europe_east,europe_central_asia,Europe,ElectricityUsePP,6300
Czech Republic,10600000,europe,europe_east,europe_central_asia,Europe,FoodSupplykcPPD,3250
Czech Republic,10600000,europe,europe_east,europe_central_asia,Europe,IncomePP,28800
